rank,contentTier,title,category,url,totalScore,searchDemandScore,businessRelevanceScore,decisionPotentialScore,freshnessVolatilityScore
1,tier1,Raydian,ai-tools,https://raydian.dev,71,21,25,10,15
2,tier1,Hubspot Webflow App,development-tools,https://webflow.com/apps/detail/hubspot,69,25,24,7,13
3,tier1,ChatArena,ai-tools,https://chatarena.ai,67,21,25,6,15
4,tier1,Context7,ai-tools,https://context7.com,67,18,25,9,15
5,tier1,Octoparse,ai-tools,https://www.octoparse.com,67,18,25,9,15
6,tier1,Conductor,ai-tools,https://www.conductor.build,66,14,25,12,15
7,tier1,Everything Claude Code Plugin,ai-tools,https://github.com/affaan-m/everything-claude-code,66,17,25,9,15
8,tier1,find-skills skill,ai-tools,https://www.nocodesupply.co/item/find-skills-skill,66,17,25,9,15
9,tier1,Finsweet Extension Webflow App,development-tools,https://webflow.com/apps/detail/finsweet-extension,66,25,24,4,13
10,tier1,Miriad,ai-tools,https://miriad.systems,66,14,25,12,15
11,tier1,rams,ai-tools,https://www.rams.ai,66,17,25,9,15
12,tier1,Workway,ai-tools,https://workway.co,66,14,25,12,15
13,tier1,Streamlit,ai-tools,https://streamlit.io,65,21,25,4,15
14,tier1,Ballpark,ai-tools,https://www.ballpark.ing,64,10,25,14,15
15,tier1,The Agent Skills Directory,ai-tools,https://skills.sh/trending,64,17,25,7,15
16,tier1,Claude Code Skills Hub,ai-tools,https://claudecodeplugins.io,63,14,25,9,15
17,tier1,Composio,ai-tools,https://composio.dev,63,14,25,9,15
18,tier1,Letta,ai-tools,https://www.letta.com,63,14,25,9,15
19,tier1,Ralph Wiggum,ai-tools,https://ralph-wiggum.ai,63,14,25,9,15
20,tier1,UI Skills,ai-tools,https://www.ui-skills.com,63,14,25,9,15
21,tier1,Webflow VS Code Extension,webflow,https://github.com/Webflow-Examples/webflow-vscode-extension,63,28,18,7,10
22,tier1,divs Webflow component library,design-tools,https://divs.idreezus.com,62,25,22,4,11
23,tier1,Fly,development-tools,https://fly.io,62,21,24,4,13
24,tier1,Gemini,ai-tools,https://ai.google.dev,62,18,25,4,15
25,tier1,Give Claude Code an external monitor,ai-tools,https://github.com/dvdsgl/claude-canvas,62,13,25,9,15
26,tier1,Hubspot Webflow App,shadcn,https://webflow.com/apps/detail/hubspot,62,25,19,7,11
27,tier1,Hubspot Webflow App,coding,https://webflow.com/apps/detail/hubspot,62,25,20,7,10
28,tier1,Hubspot Webflow App,github,https://webflow.com/apps/detail/hubspot,62,25,20,7,10
29,tier1,LangChain,ai-tools,https://www.langchain.com,62,18,25,4,15
30,tier1,LM Studio,ai-tools,https://lmstudio.ai,62,18,25,4,15
31,tier1,MagicPath,ai-tools,https://www.magicpath.ai,62,18,25,4,15
32,tier1,Note API Connector,development-tools,https://noteapiconnector.com,62,17,24,7,14
33,tier1,React Email,development-tools,https://react.email,62,17,24,7,14
34,tier1,VS Code,ai-tools,https://code.visualstudio.com,62,18,25,4,15
35,tier1,Bubble,ai-tools,https://bubble.io,61,17,25,4,15
36,tier1,Cline,ai-tools,https://cline.bot,61,17,25,4,15
37,tier1,ConsoleX,ai-tools,https://consolex.ai,61,10,25,11,15
38,tier1,Hubspot Webflow App,productivity,https://webflow.com/apps/detail/hubspot,61,25,20,7,9
39,tier1,Hubspot Webflow App,javascript,https://webflow.com/apps/detail/hubspot,61,25,19,7,10
40,tier1,LangFuse,ai-tools,https://langfuse.com,61,14,25,7,15
41,tier1,Ledger Brandbook,ai-tools,https://brand.ledger.com,61,17,25,4,15
42,tier1,Lovable,ai-tools,https://lovable.dev,61,17,25,4,15
43,tier1,Pablo,ai-tools,https://pablo.design,61,14,25,7,15
44,tier1,Walrus,ai-tools,https://www.walrus.xyz,61,17,25,4,15
45,tier1,BlogSync,ai-tools,https://blogsync.io,60,10,25,10,15
46,tier1,Hubspot Webflow App,webflow,https://webflow.com/apps/detail/hubspot,60,25,18,7,10
47,tier1,Playwright,development-tools,https://playwright.dev,60,14,24,9,13
48,tier1,Temporal,development-tools,https://temporal.io,60,14,24,9,13
49,tier1,Webflow AI Translator App,webflow,https://github.com/Webflow-Examples/webflow-ai-translator-app,60,22,18,9,11
50,tier1,Webflow Calendar App,webflow,https://github.com/Webflow-Examples/webflow-calendar-app,60,25,18,7,10
51,tier2,Finsweet Extension Webflow App,shadcn,https://webflow.com/apps/detail/finsweet-extension,59,25,19,4,11
52,tier2,Finsweet Extension Webflow App,coding,https://webflow.com/apps/detail/finsweet-extension,59,25,20,4,10
53,tier2,Finsweet Extension Webflow App,github,https://webflow.com/apps/detail/finsweet-extension,59,25,20,4,10
54,tier2,Happy Hues,design-tools,https://www.happyhues.co,59,22,22,4,11
55,tier2,Hubspot Webflow App,languages,https://webflow.com/apps/detail/hubspot,59,25,18,7,9
56,tier2,in progress works,ai-tools,https://www.inprogress.works,59,10,25,9,15
57,tier2,textarea.my,ai-tools,https://github.com/antonmedv/textarea,59,10,25,9,15
58,tier2,VS Code,development-tools,https://code.visualstudio.com,59,18,24,4,13
59,tier2,Anthropic Claude API,ai-tools,https://docs.anthropic.com,58,14,25,4,15
60,tier2,Bolt,ai-tools,https://bolt.new,58,14,25,4,15
61,tier2,Chainlit,ai-tools,https://chainlit.io,58,14,25,4,15
62,tier2,Codrops Creative Hub,development-tools,https://tympanus.net/codrops/hub,58,17,24,4,13
63,tier2,Cody,ai-tools,https://sourcegraph.com/cody,58,14,25,4,15
64,tier2,CookieFlow,development-tools,https://www.reform.digital/tools/cookieflow,58,17,24,4,13
65,tier2,Devin,ai-tools,https://devin.ai,58,14,25,4,15
66,tier2,Finsweet Extension Webflow App,productivity,https://webflow.com/apps/detail/finsweet-extension,58,25,20,4,9
67,tier2,Finsweet Extension Webflow App,javascript,https://webflow.com/apps/detail/finsweet-extension,58,25,19,4,10
68,tier2,GoCodeo,ai-tools,https://www.gocodeo.com,58,14,25,4,15
69,tier2,Hugging Face,ai-tools,https://huggingface.co,58,14,25,4,15
70,tier2,LlamaIndex,ai-tools,https://www.llamaindex.ai,58,14,25,4,15
71,tier2,Next.js,ai-tools,https://nextjs.org,58,14,25,4,15
72,tier2,OpenAI API,ai-tools,https://platform.openai.com/docs,58,14,25,4,15
73,tier2,Puck,development-tools,https://puckeditor.com,58,17,24,4,13
74,tier2,Vercel,ai-tools,https://vercel.com,58,14,25,4,15
75,tier2,Vercel AI SDK,ai-tools,https://sdk.vercel.ai,58,14,25,4,15
76,tier2,Vercel AI SDK RSC,ai-tools,https://sdk.vercel.ai/docs/ai-sdk-ui/overview,58,14,25,4,15
77,tier2,Can I use,ai-tools,https://caniuse.com,57,10,25,7,15
78,tier2,divs Webflow component library,webflow,https://divs.idreezus.com,57,25,18,4,10
79,tier2,Efecto,ai-tools,https://efecto.app,57,10,25,7,15
80,tier2,GitHub,ai-tools,https://github.com,57,10,25,7,15
81,tier2,Lighthouse CI,development-tools,https://github.com/GoogleChrome/lighthouse-ci,57,14,24,6,13
82,tier2,Mocku,ai-tools,https://mocku.co,57,10,25,7,15
83,tier2,Netlify,ai-tools,https://www.netlify.com,57,10,25,7,15
84,tier2,Open WebUI,ai-tools,https://openwebui.com,57,10,25,7,15
85,tier2,Pencil,ai-tools,https://pencil.dev,57,10,25,7,15
86,tier2,Regexer,ai-tools,https://regexer.dev,57,13,25,4,15
87,tier2,Reve,ai-tools,https://app.reve.com,57,10,25,7,15
88,tier2,Supabase,ai-tools,https://supabase.com,57,10,25,7,15
89,tier2,Vizcom,ai-tools,https://www.vizcom.ai,57,10,25,7,15
